pageid,title,wikidata,label
972598,Al-Muhtadee Billah,Q431442,Crown Prince Al-Muhtadee Billah of Brunei
47255438,Hassanal Bolkiah,Q57327,Hassanal Bolkiah
56308927,Halbi bin Mohammad Yussof,Q47382814,Awang Halbi bin Mohd Yussof
