position,title
Q889927,Sultan
Q25479603,Crown Prince
Q3245472,Prime Minister
Q108798017,Menteri Besar
Q108884078,Minister of Communications
Q112974829,"Minister of Culture, Youth and Sports"
Q108797908,Minister of Defence
Q112974086,Minister of Development
Q112974087,Minister of Education
Q112974310,Minister of Energy
Q108884004,Minister of Finance
Q108884010,Minister of Foreign Affairs
Q110273856,Minister of Health
Q108874929,Minister of Home Affairs
Q112974264,Minister of Religious Affairs
Q112974272,Minister of Tourism
Q108797965,Speaker of the Legislative Council
Q105226743,Commander of the Armed Forces
